Coin,Quantity,Price (USD),Value (USD),Timestamp,Total Portfolio Value (USD)
axelar,140,0.629798,88.17172,2025-01-11 21:22:38,183.81172
any-inu,12000000,7.97e-06,95.64,2025-01-11 21:22:38,183.81172
axelar,140,0.619307,86.70298000000001,2025-01-11 23:25:38,179.70298000000005
any-inu,12000000,7.75e-06,93.0,2025-01-11 23:25:38,179.70298000000005
axelar,140,0.607605,85.06469999999999,2025-01-12 11:22:50,180.10469999999998
any-inu,12000000,7.92e-06,95.04,2025-01-12 11:22:50,180.10469999999998
axelar,140,0.602343,84.32802,2025-01-12 23:25:35,175.16802
any-inu,12000000,7.57e-06,90.84,2025-01-12 23:25:35,175.16802
axelar,140,0.552759,77.38626,2025-01-13 11:24:47,166.30626
any-inu,12000000,7.41e-06,88.92,2025-01-13 11:24:47,166.30626
axelar,140,0.593384,83.07376000000001,2025-01-13 23:25:13,168.75376
any-inu,12000000,7.14e-06,85.68,2025-01-13 23:25:13,168.75376
